id,title,users_score,age_rating,first_release_date,game_engine_id
557,Half-Life 2: Episode Two,89,16,2013-05-10,
558,Tetris DS,70,7,2006-03-20,
559,Ankh: Heart of Osiris,73,12,2006-01-01,
560,Ankh: Battle of the Gods,90,0,2010-03-02,
561,Ankh,84,12,2006-01-01,
562,New Super Mario Bros. 2,85,3,2012-07-28,
563,Lost Odyssey,82,16,2008-02-07,
564,Batman: Dark Tomorrow,56,12,2003-03-18,
565,Batman: Arkham City Lockdown,68,7,2011-12-07,
566,Slender: The Eight Pages,66,16,2012-06-26,
567,Anno 1503,88,3,2003-04-04,
568,Anno 1404,86,7,2009-06-23,
569,Anno 1602,78,3,1998-09-24,
570,Anno 1701,58,3,2007-10-25,
571,Another Code: Two Memories,67,7,2005-02-24,
572,Castlevania: Lament of Innocence,94,12,2003-10-21,
573,Persona 4,65,16,2022-10-10,
574,Tales of Rebirth,68,16,2004-12-16,
575,Neopets,74,12,1999-11-15,
576,MapleStory,60,12,2003-04-29,
577,Crash Bandicoot 2: Cortex Strikes Back,85,7,1997-11-01,
578,Metro: Last Light,82,16,2013-05-14,33
579,The Chronicles of Riddick: Assault on Dark Athena,79,16,2009-04-07,
580,Castle Story,70,12,2013-09-23,
581,Epic Mickey,71,7,2011-08-04,
582,God of War: Betrayal,84,18,2007-06-20,
583,God of War: Ghost of Sparta,83,18,2010-11-02,
584,Infamous: Festival of Blood,79,16,2011-10-25,
585,Project Gotham Racing 4,74,0,2007-10-02,
586,Freedom Fighters,83,16,2003-09-26,
587,WWE SmackDown! vs. Raw 2006,82,16,2005-11-11,
588,Earthworm Jim 2,86,7,1996-03-29,
589,Albert Odyssey: Legend of Eldean,68,12,1996-08-09,
590,The Suffering,83,18,2004-03-09,
591,FIFA Online 3,97,12,2012-12-18,
592,Jet Li: Rise to Honor,70,12,2004-04-08,
593,TOCA Touring Car Championship,82,0,1997-11-01,
594,NHL 13,65,12,2012-09-11,
595,Syberia,79,7,2002-01-09,
596,FIFA Online,74,7,2010-05-26,
597,Hype: The Time Quest,76,7,1999-10-31,
598,Jump Ultimate Stars,76,0,2006-11-23,
599,Doomlord,58,12,2008-09-01,
600,Tomb Raider: Anniversary,79,16,2011-03-22,
601,Brütal Legend,72,18,2009-10-13,
602,Glory of the Roman Empire,55,12,2006-06-26,
603,SpellForce: The Order of Dawn,67,12,2003-12-16,
604,FIFA 10,70,3,2009-10-01,
605,Xenogears,77,12,1998-02-11,
606,The Last Guy,68,12,2008-07-31,
607,Devil May Cry 2,49,16,2003-01-25,
608,Kidō Senshi Gundam: Senshitachi no Kiseki,67,18,2004-03-18,
609,Star Trek: Klingon,55,18,1996-01-08,
610,Call of Juarez,77,18,2006-09-05,
611,Donkey Kong Country Returns,81,3,2010-11-21,
612,Feeding Frenzy,62,0,2004-02-11,1
613,Sanitarium,78,16,1998-04-30,
614,2010 FIFA World Cup South Africa,54,3,2010-04-27,
615,Dragon Ball Z: Budokai,79,7,2002-11-02,
616,Chaos Rings II,69,7,2012-03-15,
617,Unreal,67,16,1998-05-22,
618,Tiny Toon Adventures: Wacky Stackers,80,0,2001-12-30,
619,Dark Messiah of Might and Magic,86,18,2006-10-24,
620,Red Earth,80,16,1996-11-21,
621,Project Gotham Racing,70,3,2002-02-22,
622,World of Tanks,59,7,2013-09-05,
623,ARMA: Armed Assault,70,16,2007-02-16,18
624,Battlezone: Rise of the Black Dogs,59,3,2000-03-01,
625,Grim Fandango,97,12,1998-10-30,
626,Football Manager 2011,74,3,2010-11-05,
627,Formula One Championship Edition,77,3,2006-12-28,
628,Star Ocean: The Second Story,78,12,1998-07-30,
629,Flicky,73,3,1998-10-09,
630,NBA Live 06,96,3,2005-09-26,
631,Rocky,81,12,2002-10-18,
632,Donkey Konga,75,3,2003-12-12,
633,Might and Magic IX,88,12,2002-03-29,
634,Kingpin: Life of Crime,64,16,1999-06-30,
635,Dink Smallwood,79,12,1998-01-01,
636,UFC Undisputed 3,77,16,2012-02-14,
637,Monsteca Corral,74,3,2010-08-16,
638,Super Mario Land 2: 6 Golden Coins,71,3,1992-10-21,
639,Daikatana,97,18,2000-04-14,
640,BlazBlue: Calamity Trigger,74,12,2014-02-13,
641,Tales of Eternia Online,62,7,2006-03-03,
642,Crash Bash,70,7,2000-11-06,
643,Süpercan,63,7,2011-01-01,
644,NBA Showtime: NBA on NBC,73,0,1999-04-05,
645,Dynamite Cop,70,16,1999-05-27,
646,Throne and Liberty,59,12,2024-10-01,
647,Inazuma Eleven Strikers,68,12,2012-09-28,
648,Resident Evil Survivor,63,16,2000-01-27,
649,Banjo-Pilot,97,3,2005-01-12,
650,Imagine Babyz,93,7,2007-10-23,
651,Pompei: The Legend of Vesuvius,89,12,2000-07-14,
652,Neon Genesis Evangelion: Battle Orchestra,84,12,2007-06-28,
653,Shining Ark,71,12,2013-02-28,
654,ArcheAge,61,12,2013-01-15,
655,Dark Void,58,16,2010-01-19,
656,Soldat,69,7,2002-05-09,
657,Immortal Cities: Children of the Nile,74,0,2004-01-01,21
658,Batman & Robin,55,12,1998-08-07,
659,TD Overdrive: The Brotherhood of Speed,65,12,2002-05-27,
660,Capcom vs. SNK 2: Mark of the Millennium 2001,69,12,2001-09-13,
661,Zuma,78,3,2012-04-27,
662,WWE Day of Reckoning 2,80,16,2005-08-29,
663,Duke Nukem: Land of the Babes,67,16,2000-09-19,
664,Rayman Origins,83,7,2012-01-26,
665,Lands of Lore III,54,12,1999-03-03,
666,Gravity Bone,50,16,2008-08-28,
667,Mario Party 9,49,3,2012-03-02,
668,Killzone 2,80,18,2009-02-25,
669,Shenmue II,90,12,2002-10-28,
670,Sonic Battle,79,7,2003-12-04,
671,Mario Bros.,92,3,1984-01-01,
672,Crazy Climber,70,7,2018-02-18,
673,Rune: Halls of Valhalla,82,12,2001-06-21,
674,Tales of Destiny 2,68,12,2002-11-28,
675,Pro Evolution Soccer 2010,80,3,2010-05-20,
676,Silent Hill 4: The Room,80,18,2004-06-17,
677,Cars,74,3,2007-03-22,
678,Back to the Future: The Game,69,16,2012-05-04,
679,Planetarian: The Reverie of a Little Planet,78,12,2004-11-29,
680,Primal Rage,84,16,1996-12-13,
681,Wizard101,88,12,2008-09-02,
682,Gex 3: Deep Cover Gecko,91,0,1999-03-01,
683,Brink,55,16,2011-05-10,
684,Gotham City Impostors,58,12,2012-02-07,
685,F355 Challenge,63,0,1999-10-11,
686,Dance Dance Revolution Disney Dancing Museum,74,0,2000-11-30,
687,Secret Files 3,88,12,2012-09-13,
688,Ape Escape 2,75,3,2003-03-14,
689,Payday: The Heist,67,18,2011-10-18,37
690,R-Type III: The Third Lightning,63,12,2007-01-15,
691,Injustice: Gods Among Us,76,16,2013-04-03,
692,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,61,7,2014-02-13,
693,Pump It Up Fiesta,67,0,2011-01-22,
694,Tomb Raider: The Angel of Darkness,62,12,2003-06-20,
695,Marvel Avengers: Battle for Earth,81,12,2012-10-30,
696,In the Hunt,73,16,2019-01-01,
697,Resident Evil,84,16,2019-05-21,
698,Konami Krazy Racers,52,3,2001-03-21,
699,Contact,51,3,2007-01-25,
700,The Lord of the Rings Online,63,12,2007-04-24,
701,Pocket Bomberman,66,3,1997-12-12,
702,CrazyRacing AirRider,83,7,2009-07-21,
703,DJMax Trilogy,72,7,2008-12-25,
704,Kingdom Hearts II,86,12,2005-12-22,
705,HarmoKnight,65,7,2012-09-05,
706,Unreal Tournament,87,16,1999-11-22,
707,Crimson Skies: High Road to Revenge,70,12,2003-10-21,
708,Dark Earth,60,16,1997-10-23,
709,Neverwinter Nights 2,78,12,2006-10-31,
710,Medieval II: Total War,82,16,2006-11-11,
711,Lil cal 64,64,12,2006-02-10,
712,Tenchu Z,71,16,2006-10-05,
713,Guitar Hero: Aerosmith,72,0,2008-06-27,
714,Super Mario Bros.: The Lost Levels,93,0,1986-06-03,
715,Mortal Kombat vs. DC Universe,65,16,2008-11-16,
716,Arcanum: Of Steamworks and Magick Obscura,87,12,2001-08-21,
717,Scurge: Hive,84,7,2006-10-24,
718,Fist of the North Star: Ken's Rage 2,39,18,2012-12-20,
719,Final Fantasy X-2,78,12,2003-03-13,
720,Command & Conquer 3: Tiberium Wars,81,12,2007-03-28,14
721,Sine Mora,67,12,2012-03-21,
722,Pushmo,67,3,2011-10-05,
723,Command & Conquer 4: Tiberian Twilight,49,16,2010-03-16,14
724,V-Rally,87,3,1997-08-18,
725,Dragon Ball Z: Idainaru Dragon Ball Densetsu,67,16,1996-05-31,
726,Europa Universalis III,73,3,2007-01-26,
727,Gears of War,82,18,2006-11-07,
728,Rift,58,12,2011-03-01,
729,World of Goo,81,3,2008-10-13,
730,Shin Megami Tensei: Imagine,51,12,2007-03-30,
731,Super Mario Bros. 3,87,3,1988-10-23,
732,Beast Wars: Transformers,84,12,1997-12-05,
733,Super Mario Sunshine,86,3,2002-07-19,
734,Overlord II,76,16,2009-06-23,
735,Castle Crashers,78,16,2008-08-27,
736,Heroes of Might and Magic IV,84,12,2002-03-28,
737,Harvest Moon: Save the Homeland,55,3,2001-07-05,
738,Deus Ex: Human Revolution,87,18,2011-08-23,
739,Tomb Raider: Chronicles,61,12,2000-11-17,
740,Wanted: Weapons of Fate,79,18,2009-03-17,37
741,The Legend of Zelda: Ocarina of Time 3D,91,12,2011-12-04,
742,Deus Ex,87,16,2012-05-16,
743,Jerusalem: The Three Roads to the Holy Land,75,3,2002-02-01,
744,Phoenix Wright: Ace Attorney – Justice for All,69,12,2002-01-01,
745,SimAnimals,64,0,2009-01-21,
746,Star Trek: Legacy,66,12,2006-05-11,
747,Retro City Rampage,79,12,2014-02-05,
748,Jack Orlando,81,12,2001-09-01,
749,Super Mario Land,78,3,1989-04-21,
750,Scooby-Doo! Unmasked,87,3,2005-09-12,
751,SD Gundam: Scad Hammers,56,7,2006-12-02,
752,Heavy Rain,82,18,2010-02-18,
753,Arcomage,68,3,1999-01-01,
754,Battlefield: Bad Company,79,16,2008-06-23,
755,Uncharted: Fight for Fortune,45,7,2012-12-04,
756,Alice: Madness Returns,80,18,2011-06-14,
757,Alien Swarm,67,18,2010-07-19,
758,Resistance: Burning Skies,74,16,2012-05-29,
759,Unit 13,56,16,2012-03-06,
760,Twisted Metal: Head-On,66,12,2005-03-24,
761,NBA Live 2005,78,3,2004-09-28,
762,UEFA Euro 2008,45,3,2008-04-17,
763,Shenmue,79,12,1999-12-29,
764,Looney Tunes: Acme Arsenal,86,12,2008-02-06,
765,Superman Returns,81,7,2006-11-22,10
766,Giants: Citizen Kabuto,68,16,2000-12-06,
767,Family Guy Video Game!,83,18,2006-10-02,
768,The Legend of Zelda: Phantom Hourglass,81,7,2007-06-23,
769,Rune,80,16,2000-11-18,
770,A Game of Thrones: Genesis,59,12,2011-09-28,
771,Switchblade,83,7,2019-08-22,
772,Carmageddon II: Carpocalypse Now,76,12,1998-11-30,35
773,Condemned: Criminal Origins,77,18,2005-11-16,
774,Colony Wars,74,12,1997-10-31,
775,LocoRoco 2,45,0,2008-11-21,
776,Summoner,64,12,2000-10-26,
777,Baldur's Gate,87,12,1998-12-21,
778,Need for Speed: ProStreet,71,3,2008-02-01,38
779,Rayman M,76,0,2002-09-01,10
780,Mercedes-Benz World Racing,72,0,2003-01-01,
781,Jurassic Park III: Park Builder,65,3,2001-08-09,
782,Sports Champions 2,69,0,2012-10-30,
783,World in Conflict,75,16,2007-09-18,
784,Brave,70,16,2012-06-19,
785,Langrisser II,64,12,2009-04-14,
786,Harry Potter and the Deathly Hallows – Part 1,91,12,2011-06-25,
787,Tomb Raider: Legend,78,12,2006-04-07,
788,Wii Music,68,3,2008-10-16,
789,X3: Reunion,66,12,2005-10-28,
790,Uru: Ages Beyond Myst,66,3,2003-11-11,
791,Kung Fu Rider,69,16,2010-09-16,
792,Calling All Cars!,61,3,2007-05-10,
793,AeroGauge,76,7,1997-12-19,
794,Tomb Raider: The Last Revelation,88,12,1999-11-24,
795,Ao to Ao no Shizuku: A Calling from Tears,79,12,2003-04-25,
796,Crysis 2,77,16,2011-03-22,
797,Taz: Wanted,71,0,2002-09-17,
798,Tekken Tag Tournament 2,81,16,2011-09-14,
799,Chrome,79,16,2003-10-28,
800,Horsez,76,0,2006-10-26,
801,Hospital Tycoon,64,7,2007-06-05,
802,ARMA 3,77,16,2013-09-12,18
803,Record of Lodoss War: Advent of Cardice,75,12,2000-06-29,
804,Lost Kingdoms,62,12,2002-04-25,
805,Elvandia Story,52,12,2007-04-26,
806,Journey,86,7,2015-07-21,5
807,Assassin's Creed: Brotherhood,86,18,2010-11-16,
808,Crusader Kings II,72,12,2012-02-14,47
809,Final Fantasy XI,61,12,2002-05-16,
810,Star Trek: Armada II,79,12,2001-11-12,
811,Cocoto Kart Racer,64,0,2008-06-24,
812,Analogue: A Hate Story,77,7,2012-02-01,
813,Worms: A Space Oddity,93,7,2008-03-18,
814,Worms World Party,66,7,2015-07-16,
815,Wild Guns,78,12,1996-10-31,
816,Dust: An Elysian Tail,73,12,2013-05-24,
817,Rewrite,66,16,2011-06-24,
818,Sonic Riders,77,3,2006-02-21,
819,Viva Piñata: Party Animals,75,3,2007-10-30,
820,Dynasty Warriors: Gundam 2,76,16,2008-12-18,
821,Dangun Feveron,75,3,1998-09-17,
822,Viewtiful Joe: Double Trouble!,61,7,2005-11-02,
823,Championship Manager 96/97,64,12,1996-09-27,
824,Yakuza 2,75,18,2006-12-07,
825,Digital Combat Simulator,63,12,2008-10-17,
826,Neighbours from Hell 2: On Vacation,71,3,2004-05-05,
827,Command & Conquer: Red Alert 2,87,12,2000-10-23,
828,LittleBigPlanet PS Vita,83,3,2012-09-19,
829,Secret Files 2: Puritas Cordis,77,12,2009-05-08,
830,Shin Megami Tensei: Nine,97,12,2002-12-05,
831,Armies of Exigo,82,12,2004-11-30,
832,Army of Two,74,18,2008-03-06,
833,Bomberman Hero,78,7,1998-04-30,
834,Battalion Wars 2,54,12,2008-02-15,
835,Free Realms,82,12,2011-03-29,
836,Leisure Suit Larry: Love for Sail!,84,16,1996-10-31,
837,Syphon Filter 3,61,18,2001-11-06,
838,Medal of Honor: Allied Assault,83,12,2002-01-22,
839,Splatterhouse,77,18,2010-11-23,
840,The Secrets of Atlantis: The Sacred Legacy,78,12,2006-11-03,
841,Roblox,66,16,2006-08-27,
842,Pursuit Force,89,12,2005-11-18,
843,School Tycoon,87,0,2004-01-15,
844,Rez,59,3,2001-11-22,
845,Forza Motorsport 2,74,3,2007-05-24,
846,Half-Life: Opposing Force,77,16,2013-03-30,
847,AMY,54,16,2012-01-11,5
848,Runes of Magic,77,12,2009-03-19,
849,Dinosaur King,80,7,2005-01-01,
850,Inazuma Eleven,83,7,2011-01-28,
851,Sniper Elite V2,68,16,2012-04-30,
852,Warhammer Online: Age of Reckoning,72,12,2008-09-18,
853,Pharaoh,58,7,2000-01-01,
854,Metal Gear Solid V: The Phantom Pain,83,18,2015-09-01,
855,Arx Fatalis,79,16,2002-06-28,
856,Naruto Shippūden: Gekitō Ninja Taisen! EX,78,18,2007-01-01,
857,Crash Bandicoot,83,3,1996-09-09,
858,FarmVille,60,7,2009-10-11,1
859,SimCity 4,69,3,2003-01-14,
860,FIFA 09,79,3,2008-10-02,
861,Harry Potter and the Philosopher's Stone,61,12,2001-11-16,
862,Contra: Legacy of War,70,12,1996-11-29,
863,Frogger's Adventures: The Rescue,73,3,2003-10-21,10
864,Dōsei,68,3,1997-05-23,
865,Codename: Panzers Phase II,72,16,2005-07-21,
866,Phoenix Wright: Ace Attorney – Trials and Tribulations,67,12,2004-01-23,
867,War of the Roses,60,18,2012-10-02,
868,Ashen,70,12,2004-05-25,
869,Mass Effect 2,89,18,2010-01-26,
870,FIFA 07,86,3,2006-09-25,
871,Star Wars: Knights of the Old Republic,87,12,2003-01-01,
872,Harry Potter and the Chamber of Secrets,82,3,2002-11-05,
873,Need for Speed: Underground 2,88,3,2004-11-09,38
874,Quake III Arena,87,18,1999-12-02,
875,ParaWorld,78,12,2006-09-15,
876,Duke Nukem 3D,87,18,1996-01-29,
877,Gears of War 2,86,18,2008-11-07,
878,Alias,73,12,2004-02-04,10
879,Spider-Man: Shattered Dimensions,77,16,2010-09-07,
880,Blue Lightning,94,3,2022-11-15,
881,Ninja Gaiden Sigma 2,82,16,2021-06-09,
882,Theocracy,68,12,2000-03-30,
883,Dragon Ball Z: Supersonic Warriors,89,16,2004-01-01,
884,Just Dance 2,76,3,2011-07-17,
885,Rush for Berlin,71,12,2009-10-29,
886,The Legend of Zelda: Majora's Mask,87,7,2000-04-27,
887,The King of Fighters XI,74,12,2005-10-26,
888,Bulletstorm,82,18,2011-02-22,
889,Severance: Blade of Darkness,73,7,2001-02-21,
890,Resident Evil 2,90,16,1998-01-21,
891,Dragon Ball: Raging Blast 2,69,12,2010-11-02,
892,The Legend of Zelda: Twilight Princess,88,12,2005-01-01,
893,Fragile Allegiance,86,12,1997-03-31,
894,Dragon Age: Origins,88,18,2009-11-03,
895,Max Payne 3,85,18,2013-06-20,
896,Enter the Matrix,77,16,2003-05-14,
897,Dragon Ball Z: Ultimate Tenkaichi,90,12,2011-10-25,
898,Atlantica Online,66,12,2008-07-15,
899,Zeus: Master of Olympus,61,7,2000-01-01,
900,Virtua Tennis 4,76,3,2011-04-29,
901,Asphalt: Urban GT,82,3,2004-11-15,
902,Quake II,83,16,1997-12-09,
903,Star Wars: The Old Republic,77,16,2012-03-01,30
904,Wolfenstein RPG,74,18,2008-09-30,
905,Bomb Jack,50,7,2015-08-18,
906,Pokémon Puzzle Challenge,75,0,2000-09-21,
907,The Nomad Soul,54,16,1999-10-29,
908,Gothic 3,74,16,2006-10-13,59
909,Pro Evolution Soccer 6,56,3,2006-10-27,10
910,Creature Shock,82,12,1996-01-19,
911,Assassin's Creed: Bloodlines,72,16,2009-11-17,
912,Devil Summoner: Soul Hackers,67,12,1997-11-13,
913,Assassin's Creed: Revelations,80,18,2011-11-15,
914,Syphon Filter 2,75,18,2000-03-14,
915,Resident Evil 3: Nemesis,87,16,1999-09-22,
916,Hearts of Iron,79,12,2002-11-24,28
917,Madagascar,97,3,2005-05-24,10
918,Amerzone,75,0,1999-10-18,
919,Warcraft II: Tides of Darkness,87,12,1996-01-01,
920,Colony Wars: Red Sun,82,12,2000-05-02,
921,Heroes of the Pacific,72,12,2005-09-28,10
922,Prince of Persia: Warrior Within,88,16,2004-11-30,
923,Mario Party 3,64,3,2000-12-07,
924,F-1 World Grand Prix II,59,0,1999-09-30,
925,Habbo,82,16,2000-09-22,
926,Botanicula,78,7,2012-04-19,1
927,Big Rigs: Over the Road Racing,58,3,2003-11-20,
928,Dragon Quest X,77,0,2012-08-02,7
929,Batman: Arkham Asylum,88,16,2009-08-25,
930,The Pandora Directive,78,12,1996-07-31,
931,Command & Conquer: Red Alert 3,80,16,2008-10-28,14
932,Hiiro no Kakera,72,12,2017-07-27,
933,Serious Sam: Next Encounter,62,12,2004-04-12,
934,Halo Wars,73,16,2017-04-20,
935,Asterix & Obelix XXL,72,7,2004-03-19,10
936,Fallout: Brotherhood of Steel,84,16,2004-01-14,
937,Harry Potter and the Prisoner of Azkaban,81,12,2004-05-25,10
938,Digimon Adventure: Anode/Cathode Tamer,76,7,1999-12-15,
939,Beyond Divinity,64,12,2004-01-01,
940,Stronghold: Crusader,91,12,2002-07-31,
941,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,79,16,2002-09-30,
942,Astro Boy: Omega Factor,58,3,2003-12-18,
943,Devil May Cry 4,83,16,2008-01-31,22
944,Mimana Iyar Chronicle,92,12,2009-02-26,
945,Silent Hill 2,89,16,2002-02-22,
946,Tokyo Mono Hara Shi: Karasu no Mori Gakuen Kitan,72,16,2010-04-22,
947,Silent Hill,87,16,1999-02-23,
948,Mass Effect 3,88,18,2012-03-06,
949,Fallout: New Vegas,89,18,2010-10-19,
950,Prince of Persia: The Two Thrones,82,16,2007-04-03,
951,Command & Conquer: Tiberian Sun,78,16,1999-08-27,
952,Total War: Shogun 2,72,16,2011-03-15,
953,S.T.A.L.K.E.R.: Clear Sky,78,16,2008-08-22,15
954,Atlantis: The Lost Tales,76,0,1997-09-30,
955,Audiosurf,79,3,2008-02-15,
956,Inuyasha: A Feudal Fairy Tale,97,16,2002-12-05,
957,Chrono Trigger,86,12,2018-02-27,
958,Tank Force,66,7,2009-11-10,
959,Die Hard Trilogy,68,18,1996-08-31,
960,Crash Bandicoot: The Huge Adventure,68,3,2002-02-25,
961,Genewars,80,7,1996-09-30,
962,Altitude,49,12,2009-05-01,
963,Paper Mario: Sticker Star,81,3,2012-11-11,
964,Europa Universalis II,52,3,2001-12-11,28
965,Orcs Must Die! 2,74,12,2012-07-30,
966,Sherlock Holmes Versus Jack the Ripper,76,16,2009-04-30,
967,Sonic Advance 3,84,3,2004-06-07,
968,Raw Danger!,69,7,2015-02-18,
969,Disaster Report 4 Plus: Summer Memories,70,18,2020-04-07,
970,Pokémon Battle Revolution,54,7,2006-12-14,
971,MotorStorm: Apocalypse,73,18,2011-03-16,
972,Dungeon Defenders,66,12,2011-10-18,
973,MotorStorm,82,16,2006-12-14,
974,Counter-Strike Neo,64,18,2005-10-27,
975,Men of War,75,16,2009-02-27,
976,Europa Universalis: Rome,63,12,2008-04-18,47
977,Skullgirls,75,12,2013-08-22,
978,MotorStorm: Pacific Rift,75,16,2008-09-11,
979,Persona 2: Innocent Sin,90,12,1999-06-24,
980,Gothic,87,12,2001-03-15,60
981,Codename: Gordon,83,16,2004-05-17,1
982,Damnation,52,16,2009-05-22,
983,The Simpsons: Tapped Out,61,12,2012-03-01,
984,Mario Party 8,84,3,2007-05-29,
985,Knight Rider: The Game,76,7,2004-01-01,
986,Virtua Fighter 3,94,0,1998-11-27,
987,Sega Rally Revo,74,3,2007-09-27,
988,Dead or Alive Paradise,92,12,2010-03-30,
989,Mana Khemia 2: Fall of Alchemy,68,12,2008-05-29,
990,Dota 2,61,12,2013-07-09,
991,SSX,70,7,2012-02-28,
992,Heavenly Sword,78,16,2007-09-12,
993,Tobal No. 1,80,12,1996-08-02,
994,Gran Turismo 5,83,3,2010-11-24,
995,Wet,68,18,2009-09-15,
996,Armored Core: For Answer,71,12,2008-03-19,
997,Utawarerumono,80,12,2002-04-26,
998,Donkey Kong 64,82,3,1999-11-22,
999,Sega Soccer Slam,54,3,2002-03-18,
1000,Blazing Angels 2: Secret Missions of WWII,77,12,2007-09-07,
1001,Spy Hunter,71,12,2001-09-24,
1002,Mortal Kombat: Deadly Alliance,78,18,2002-11-16,10
1003,Just Dance 3,63,3,2011-10-07,
1004,Tonic Trouble,82,3,1999-08-31,
1005,Premier Manager: Ninety Nine,63,0,1999-01-01,
1006,Shin Megami Tensei: Digital Devil Saga 2,79,12,2005-01-27,
1007,CSI: Hard Evidence,76,12,2008-01-17,
1008,NCAA Football 07,69,7,2006-07-18,
1009,Ninja Gaiden 3,86,18,2012-03-20,
1010,Rapid Racer,67,0,1997-11-14,
1011,Battle Stadium D.O.N,77,16,2006-07-20,
1012,Transformers: Fall of Cybertron,78,12,2012-08-21,
1013,FIFA Manager 11,51,3,2010-10-28,
1014,Project Gotham Racing 3,46,3,2005-11-22,
1015,Port Royale 2,73,7,2004-09-13,
1016,Midnight Club 3: DUB Edition,90,12,2005-04-11,
1017,Call of Duty 2: Big Red One,63,16,2006-06-29,
1018,Puzzle Bobble 3,58,3,1997-03-28,
1019,MAG,76,16,2010-01-26,
1020,A2 Racer,88,7,1997-01-01,
1021,Marvel vs. Capcom 3: Fate of Two Worlds,89,12,2011-02-15,22
1022,S.T.A.L.K.E.R.: Call of Pripyat,85,16,2009-10-02,15
1023,Avencast: Rise of the Mage,41,12,2007-10-30,
1024,BattleForge,55,12,2009-03-23,
1025,Battlefield Play4Free,69,18,2011-04-04,65
1026,Battlefield 1942,83,16,2004-06-28,65
1027,Battlefield Vietnam,80,16,2004-03-14,65
1028,Battlefield 3,82,16,2011-10-25,
1029,Bayonetta,86,18,2009-10-29,
1030,Beyond Good & Evil,87,7,2008-09-01,
1031,Thief: Deadly Shadows,72,12,2004-05-25,
1032,Thief II,51,16,2000-02-29,4
1033,Neon Genesis Evangelion,87,16,1999-06-25,
1034,Captain America: Super Soldier,84,12,2011-07-14,
1035,Breath of Fire IV,63,12,2000-04-27,
1036,Far Cry 3,85,18,2012-11-29,
1037,Half-Life: Decay,77,18,2001-11-14,
1038,Brothers in Arms: Road to Hill 30,77,16,2008-09-23,
1039,Biomotor Unitron,57,7,1999-04-15,
1040,Baldur's Gate: Dark Alliance II,96,12,2022-07-20,
1041,Baldur's Gate: Dark Alliance,63,12,2021-12-17,
1042,Baldur's Gate II: Shadows of Amn,85,12,2001-09-01,
1043,Bangai-O Spirits,74,7,2008-03-19,
1044,Banjo-Kazooie: Grunty's Revenge,71,3,2003-09-12,
1045,Banjo-Kazooie: Nuts & Bolts,73,7,2008-11-11,
1046,Banjo-Tooie,81,3,2000-11-20,
1047,Bastion,83,12,2012-04-26,
1048,Baten Kaitos: Eternal Wings and the Lost Ocean,69,12,2003-12-05,
1049,Battle Bugs,88,7,1997-09-18,
1050,Battle Realms,64,12,2001-11-07,
1051,Battlefield 1943,75,16,2009-07-08,
1052,Battlefield 2142,59,16,2006-10-17,65
1053,Battlezone,97,12,1998-02-28,
1054,Battlezone II: Combat Commander,67,16,1999-01-01,
1055,Beach Spikers,67,3,2002-07-19,
1056,TrackMania 2,74,3,2011-09-14,
1057,Beetle Adventure Racing!,57,0,1999-02-28,
1058,Tomb Raider II,75,12,1997-10-31,
1059,Beneath a Steel Sky,55,12,2009-10-07,3
1060,F.E.A.R.,85,18,2005-10-18,
1061,God of War,64,18,2005-03-22,
1062,Earthsiege 2,85,12,1996-01-01,
1063,The Emperor's New Groove,80,3,2000-11-13,
1064,Secret Weapons Over Normandy,76,16,2003-11-18,10
1065,Bully,88,16,2016-12-08,10
1066,Kororinpa,95,0,2007-02-23,
1067,Evolution: The World of Sacred Device,83,7,2000-06-09,
1068,Star Trek: Bridge Commander,90,0,2002-02-22,
1069,Half-Life: Blue Shift,75,16,2001-06-12,
1070,Crisis Core: Final Fantasy VII,73,16,2007-09-13,
1071,Crash Team Racing,87,3,1999-09-30,
1072,The Legend of Mir 2,73,12,2001-09-19,
1073,GT Legends,64,3,2005-10-15,
1074,Kennedy Approach,70,3,2023-04-23,
1075,The Simpsons: Hit & Run,82,7,2003-09-16,10
1076,Silent Hill 3,87,18,2003-05-23,
1077,Super Robot Wars Gaiden: Masō Kishin – The Lord of Elemental,70,12,1996-01-01,
1078,Europa Universalis,75,3,2001-02-21,28
1079,Garry's Mod,76,18,2013-06-05,
1080,Need for Speed: Hot Pursuit,77,7,2010-11-16,
1081,Command & Conquer: Renegade,79,12,2002-02-26,14
1082,Beatmania IIDX 10th Style,77,7,2004-02-16,
1083,Beatmania IIDX 7th Style,47,0,2004-03-13,
1084,Beatmania IIDX 9th Style,67,7,2005-03-21,
1085,Beatmania IIDX 8th Style,79,0,2002-09-27,
1086,Orcs & Elves,67,12,2007-01-01,
1087,Doom RPG,78,18,2005-09-13,
1088,Mario Kart Wii,86,3,2008-04-10,
1089,Wildlife Park,76,3,2003-12-08,
1090,Super Robot Taisen: Original Generation,63,7,2002-11-22,
1091,Empire: Total War,76,16,2009-03-03,
1092,Emergency Fire Response,62,7,2003-07-30,
1093,Devil May Cry 3: Dante's Awakening,87,16,2005-02-17,
1094,Wii Fit,56,3,2007-12-01,
1095,Star Wars: The Force Unleashed,77,12,2008-09-16,9
1096,Serious Sam: The Second Encounter,80,16,2002-02-05,
1097,Shin Megami Tensei: Strange Journey,61,18,2009-10-08,
1098,Crash Bandicoot: Warped,64,3,1998-10-31,
